location_id,name,coordinates,type,operator,amenity,CenterPoint
42,Mobil,"[[[[-73.9385976, 40.8209681], [-73.9380017, 40.82072], [-73.9378327, 40.8209676], [-73.9384161, 40.8212173], [-73.9385976, 40.8209681]]]]",MultiPolygon,N/A,fuel,"[-73.93821514999999, 40.82096865]"
42,Shell,"[-73.9405293, 40.821979]",Point,N/A,fuel,"[-73.9405293, 40.821979]"
50,Sunoco,"[-73.9963354, 40.7639724]",Point,N/A,fuel,"[-73.9963354, 40.7639724]"
50,Mobil,"[[-73.9940667, 40.766129], [-73.9939831, 40.7662418], [-73.9938657, 40.7661928], [-73.9938148, 40.7662632], [-73.9938618, 40.7662825], [-73.9940703, 40.7663684], [-73.9941322, 40.7662824], [-73.994202, 40.7661855], [-73.9941421, 40.7661605], [-73.9941301, 40.7661658], [-73.9940934, 40.7661505], [-73.9940991, 40.7661425], [-73.9940667, 40.766129]]",LineString,Bisma Mobil,fuel,"[-73.9940084, 40.7662487]"
68,Mobil,"[[-73.9978437, 40.7561036], [-73.9977508, 40.7560657], [-73.9977607, 40.7560518], [-73.9977914, 40.7560087], [-73.9978295, 40.7559552], [-73.997868, 40.755901], [-73.997903, 40.7558519], [-73.9979078, 40.7558451], [-73.9980007, 40.7558831], [-73.9979948, 40.7558914], [-73.9979586, 40.7559422], [-73.9979198, 40.7559967], [-73.9978816, 40.7560503], [-73.9978519, 40.7560921], [-73.9978437, 40.7561036]]",LineString,N/A,fuel,"[-73.99787575, 40.75597435]"
74,BP,"[-73.9336223, 40.7980465]",Point,N/A,fuel,"[-73.9336223, 40.7980465]"
74,BP,"[[[[-73.933886, 40.8030898], [-73.9338275, 40.803065], [-73.9337572, 40.8030353], [-73.9336735, 40.8029998], [-73.933633, 40.8029827], [-73.9335698, 40.8030681], [-73.9336137, 40.8030867], [-73.9336963, 40.8031217], [-73.9337643, 40.8031505], [-73.9338228, 40.8031752], [-73.933886, 40.8030898]]]]",MultiPolygon,N/A,fuel,"[-73.93372790000001, 40.80307895]"
74,Shell,"[[-73.9344847, 40.7969905], [-73.9341873, 40.7968653], [-73.9344088, 40.7965612], [-73.9347039, 40.7966929], [-73.9344847, 40.7969905]]",LineString,N/A,fuel,"[-73.9344456, 40.79677585]"
75,Shell,"[[-73.9482581, 40.7893182], [-73.9480833, 40.7895598], [-73.9479479, 40.7895037], [-73.9478312, 40.7894553], [-73.9478381, 40.7894457], [-73.947956, 40.7892826], [-73.9480059, 40.7892137], [-73.9482581, 40.7893182]]",LineString,N/A,fuel,"[-73.94804465, 40.78938675]"
75,Mobil,"[[-73.9406393, 40.7897138], [-73.9407443, 40.7895648], [-73.9404182, 40.7894283], [-73.9403108, 40.7895827], [-73.9406393, 40.7897138]]",LineString,N/A,fuel,"[-73.94052755000001, 40.78957105]"
75,Shell,"[[[[-73.9482581, 40.7893182], [-73.9480059, 40.7892137], [-73.947956, 40.7892826], [-73.9478381, 40.7894457], [-73.9478312, 40.7894553], [-73.9479479, 40.7895037], [-73.9480833, 40.7895598], [-73.9482581, 40.7893182]]]]",MultiPolygon,N/A,fuel,"[-73.94804465, 40.78938675]"
127,Getty,"[-73.922712, 40.8669392]",Point,N/A,fuel,"[-73.922712, 40.8669392]"
127,BP,"[-73.9179905, 40.8663235]",Point,N/A,fuel,"[-73.9179905, 40.8663235]"
127,Sunoco Gas Station,"[-73.9148134, 40.8704474]",Point,N/A,fuel,"[-73.9148134, 40.8704474]"
127,Unnamed,"[[[[-73.9202757, 40.8630095], [-73.9202447, 40.8629588], [-73.9202065, 40.8630049], [-73.9202149, 40.8630191], [-73.920221, 40.8630288], [-73.9202757, 40.8630095]]]]",MultiPolygon,N/A,fuel,"[-73.9202411, 40.8629938]"
152,Unnamed,"[-73.9565369, 40.817603]",Point,N/A,fuel,"[-73.9565369, 40.817603]"
166,Shell,"[-73.9542056, 40.8107041]",Point,N/A,fuel,"[-73.9542056, 40.8107041]"
224,BP,"[-73.9745164, 40.73515]",Point,BP,fuel,"[-73.9745164, 40.73515]"
238,Mobil,"[[-73.9738303, 40.7959578], [-73.9737371, 40.7959181], [-73.9737444, 40.7959081], [-73.9734614, 40.7957877], [-73.9735635, 40.7956491], [-73.9735762, 40.7956545], [-73.9736229, 40.7955912], [-73.9739865, 40.7957459], [-73.9738675, 40.7959073], [-73.9738303, 40.7959578]]",LineString,315 W 96 Service Center,fuel,"[-73.97372395, 40.79577449999999]"
243,Unnamed,"[[[[-73.934657, 40.8534401], [-73.9343215, 40.8533341], [-73.9341164, 40.853722], [-73.934451, 40.85382], [-73.934657, 40.8534401]]]]",MultiPolygon,N/A,fuel,"[-73.9343867, 40.85357705]"
243,Unnamed,"[[-73.934657, 40.8534401], [-73.9343215, 40.8533341], [-73.9341164, 40.853722], [-73.934451, 40.85382], [-73.934657, 40.8534401]]",LineString,N/A,fuel,"[-73.9343867, 40.85357705]"
243,BP,"[[[[-73.9284466, 40.8662214], [-73.9284443, 40.8661825], [-73.9284354, 40.8660346], [-73.928433, 40.8659955], [-73.9283325, 40.865999], [-73.9283349, 40.866038], [-73.9283437, 40.866186], [-73.9283461, 40.8662249], [-73.9284466, 40.8662214]]]]",MultiPolygon,N/A,fuel,"[-73.92838954999999, 40.866110199999994]"
243,Exxon,"[[[[-73.9356769, 40.850877], [-73.9355989, 40.8508547], [-73.9355089, 40.8510346], [-73.935587, 40.8510569], [-73.9356769, 40.850877]]]]",MultiPolygon,N/A,fuel,"[-73.9355929, 40.8509558]"
243,BP,"[[-73.9284466, 40.8662214], [-73.9283461, 40.8662249], [-73.9283437, 40.866186], [-73.9283349, 40.866038], [-73.9283325, 40.865999], [-73.928433, 40.8659955], [-73.9284354, 40.8660346], [-73.9284443, 40.8661825], [-73.9284466, 40.8662214]]",LineString,N/A,fuel,"[-73.92838954999999, 40.866110199999994]"
244,Mobil,"[-73.9453543, 40.8329495]",Point,N/A,fuel,"[-73.9453543, 40.8329495]"
244,Shell,"[[[[-73.9385981, 40.8450823], [-73.938497, 40.8450674], [-73.9384404, 40.8452874], [-73.9385356, 40.8453254], [-73.9385981, 40.8450823]]]]",MultiPolygon,N/A,fuel,"[-73.93851925, 40.8451964]"
249,Mobil,"[-74.003482, 40.7389906]",Point,N/A,fuel,"[-74.003482, 40.7389906]"
263,Shell,"[[-73.9451813, 40.7828931], [-73.9449641, 40.7831895], [-73.9452258, 40.7832994], [-73.9454429, 40.783003], [-73.9451813, 40.7828931]]",LineString,N/A,fuel,"[-73.9452035, 40.78309625]"
